Years of sample collection,Sex,estimatedAge,Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
1966-68,m,24,269,171,35
1966-68,m,24,271,150,29.5
1966-68,m,24,275,133.75,32.5
1966-68,m,26,272,137,30.3
1966-68,m,27,289,189,34
1966-68,m,27,298,191.5,39
1966-68,m,28,293,159.5,33
1966-68,m,29,284,187.5,42.5
1966-68,m,29,248,136,28.25
1966-68,m,29,294,170,43
1966-68,m,30,280,158,41
1966-68,m,34,314,213,48
1966-68,m,39,294,205,46.5
1966-68,m,41,303,229.5,43.25
1966-68,m,46,285,234,43.5
2005-13,m,27.5,289,,29
2005-13,m,32.5,290,,40.5
2005-13,m,32.5,320,,35
2005-13,m,32.5,241,,37
2005-13,m,37.5,315,,41
2005-13,m,37.5,340,,42
2005-13,m,37.5,320,,43
2005-13,m,37.5,325,,39
2005-13,m,42.5,310,,45
2005-13,f,4.5,195,47.077,14
2005-13,f,5,200,48.2328,15
2005-13,f,5,180,54.0118,17
2005-13,f,6,210,52.856,18
2005-13,f,7,185,41.298,14
2005-13,f,7,190,49.3886,15
2005-13,f,8,245,52.856,20
2005-13,f,8,210,70.193,20
2005-13,f,10,205,58.635,15
2005-13,f,11,255,54.0118,16
2005-13,f,11,240,55.1676,17
2005-13,f,11,230,64.414,20
2005-13,f,11.5,230,70.193,19
2005-13,f,15,230,57.4792,19
2005-13,f,15,255,70.193,20
2005-13,f,15,280,70.193,25
2005-13,f,20,225,58.635,18
2005-13,f,20,295,74.8162,26
2005-13,f,22.5,270,87.53,25
2005-13,f,25,245,70.193,20
2005-13,f,25,250,87.53,28
2005-13,f,25,230,90.9974,25
2005-13,f,25,280,104.867,29
2005-13,f,27.5,290,88.6858,30
2005-13,f,28,270,66.7256,20
2005-13,f,30,275,70.193,22
2005-13,f,30,280,75.972,25
2005-13,f,32,280,93.309,29
2005-13,m,3,168,26.5,10
2005-13,m,3,165,,8
2005-13,m,3.5,175,48.5,17
2005-13,m,4,150,31.7,13
2005-13,m,4.5,150,33,10
2005-13,m,6,195,45.9,18
2005-13,m,6,185,49.8,19
2005-13,m,6.5,180,71.8,20
2005-13,m,7,215,58.9,20
2005-13,m,7,190,65.3,19
2005-13,m,7,190,82.1,21
2005-13,m,7,185,52.4,19
2005-13,m,9,260,84.7,22
2005-13,m,10,230,71.8,22
2005-13,m,10,220,84.7,25
2005-13,m,10,194,58.9,25
2005-13,m,11,220,65.3,20
2005-13,m,12,224,73.1,25
2005-13,m,13,210,58.9,20
2005-13,m,13,215,97.7,28
2005-13,m,15,253,74.4,24
2005-13,m,17.5,275,118.4,30
2005-13,m,17.5,235,97.7,27
2005-13,m,18,225,,25
2005-13,m,25,256,87.3,31
2005-13,m,42.5,280,136.5,40
2005-13,m,,226,84.7,26
2005-13,m,,187,48.5,16
2005-13,f,2.5,160,33.2074,8
2005-13,f,3,170,43.6096,12
2005-13,f,3,220,49.3886,13
2005-13,f,3.5,160,33.2074,11
2005-13,f,3.5,180,41.298,12
2005-13,f,3.5,180,47.077,13
2005-13,f,4.5,150,38.9864,11
2005-13,f,4.5,170,40.1422,10
2005-13,f,4.5,180,48.2328,14
2005-13,f,4.5,190,49.3886,12
2005-13,f,4.5,190,51.7002,13
